Expression,Definition + Context,Example Sentence
What have you been taking to deal with the pain?,Standard pain management history question — open phrasing invites full self-medication disclosure,What have you been taking to deal with the pain? Include any tablets patches or herbal products.
I can't say they made much difference,Patient expression for treatment ineffectiveness — mild understatement,She had tried three different OTC pain relievers but could not say they had made much difference.
Brutal (adjective),Exhausting and overwhelming — used by patients to describe particularly debilitating experiences,The weeks of sleeplessness had been brutal — she felt she could not carry on without more support.
I just felt lousy,Informal expression for feeling generally unwell — malaise fatigue and discomfort combined,He said he just felt lousy — no single dominant symptom but a general sense of being run down.
I feel under the weather,Informal expression for mild general unwellness — typically cold flu or fatigue,She phoned in saying she had felt under the weather all week and was not sure if she should take her usual medication.
I feel run down,Feeling depleted and weakened — often from chronic illness poor sleep or inadequate nutrition,She had been feeling run down for weeks — fatigue poor appetite and difficulty concentrating.
Sweating buckets,Informal expression for profuse sweating — can indicate fever infection or medication reaction,He described sweating buckets throughout the night — drenching his sheets repeatedly.
Splitting headache,Extremely severe headache — often sudden onset,She woke with a splitting headache that she rated 10 out of 10 — the worst of her life.
I can't keep anything down,Unable to tolerate oral intake due to nausea or vomiting,She called the pharmacy to report she could not keep anything down — every dose was immediately vomited.
I was throwing up all day yesterday,Patient description of persistent vomiting — clinically signals dehydration risk and inability to take oral medications,He reported throwing up all day yesterday — oral medication was not viable and IV access was considered.
====== INFECTIOUS DISEASE ======,,
Meningitis,Inflammation of the meninges surrounding the brain — medical emergency — presents with headache neck stiffness photophobia and fever,The patient presented with a severe headache photophobia and neck stiffness — bacterial meningitis was suspected.
Artesunate,An antimalarial drug — first-line treatment for severe malaria,Artesunate was commenced intravenously as the patient had severe falciparum malaria.
Mefloquine (Lariam),An antimalarial drug associated with serious psychiatric side effects including odd dreams and psychosis,He had been prescribed mefloquine for malaria prophylaxis and was warned about the risk of odd dreams and psychotic symptoms.
Some sorts of malaria resistant to these drugs,Patient phrasing for antimalarial drug resistance — clinically important — affects drug selection,He was worried because he had heard that some sorts of malaria are resistant to the usual drugs in the region he was visiting.
Psychotic symptoms,Symptoms including delusions hallucinations and disorganised thinking — a serious side effect of mefloquine,She developed psychotic symptoms during her course of mefloquine — the drug was immediately discontinued.
Septicemia (septicaemia),Bacterial infection in the bloodstream — a medical emergency — presents with fever hypotension and altered consciousness,He deteriorated rapidly overnight and developed septicaemia — he was transferred to the ICU immediately.
Jaundice,Yellow discolouration of skin and sclera — caused by elevated bilirubin — indicates liver or haemolytic disease,She developed jaundice three days after completing the antibiotic course — liver function tests were ordered.
====== MUSCULOSKELETAL ======,,
Torn rotator cuff,A tear in the shoulder rotator cuff muscles — causes pain weakness and restricted movement,He was diagnosed with a torn rotator cuff following an MRI — surgery was considered after physiotherapy had failed.
Impingement syndrome,A condition where shoulder tendons are compressed during arm movement — causes pain with overhead activities,She presented with shoulder impingement syndrome — she had been unable to reach above her head for three months.
Elective surgery,A planned surgical procedure that is not an emergency — the patient can prepare in advance,The hernia repair was scheduled as elective surgery — he had a limited window to prepare beforehand.
Emergency surgery,Unplanned surgery required urgently due to a life-threatening or acutely serious condition,The bowel obstruction required emergency surgery — there was no time for routine pre-operative preparation.
To disrupt the scar tissue,A physiotherapy or surgical technique aimed at breaking down adhesions or fibrotic tissue,The physiotherapist used deep tissue massage to disrupt the scar tissue that had formed after the operation.
I have a few niggles in my knee,Patient expression for minor intermittent pain or discomfort — not severe but noticeable,He said he had a few niggles in his knee when descending stairs but otherwise managed well.
Just a bit of a niggle,A minor persistent discomfort that is not severely limiting — British English diminutive expression,She said it was just a bit of a niggle — not enough to stop her working but enough to notice every day.
Paid for it (idiom),Experienced consequences for overexertion — the pain or fatigue returned after physical activity,He had pushed through his physiotherapy session and really paid for it — he was unable to walk the next day.
====== CONSCIOUSNESS & MENTAL STATUS ======,,
The patient is alert and responsive,Baseline neurological status — fully awake and appropriately answering questions,On assessment the patient was alert and responsive with a GCS of 15.
The patient becomes less responsive,A deterioration in level of consciousness — requires urgent assessment,Over the following hour the patient became less responsive and required immediate medical review.
The patient appears dazed,Mildly confused or disoriented — not fully alert but still conscious,He appeared dazed after the fall — he was able to speak but could not recall the event.
The patient is drowsy but arousable,Reduced but not absent consciousness — responds to stimulation,She was drowsy but arousable — she opened her eyes and responded to her name when called.
The patient appears lethargic,Unusually slow and sluggish — lacking normal energy and mental alertness,He appeared lethargic and was slow to answer questions — consistent with early encephalopathy.
The patient is disoriented to time and place,Unable to correctly identify the current time date or location — a sign of cognitive impairment or delirium,She was disoriented to time and place — she believed she was at home and could not recall the year.
The patient became progressively unresponsive,A worsening deterioration toward unconsciousness — a critical sign,He became progressively unresponsive over the afternoon — a code was called at 15:30.
The patient is unconscious,Complete loss of consciousness — no response to verbal or painful stimuli,By the time the ambulance arrived the patient was unconscious and not breathing normally.
====== NEUROLOGICAL ======,,
Fine tremor,A subtle low-amplitude tremor — common with lithium or thyroid medication — usually visible in outstretched hands,It is quite common to notice a fine tremor when taking lithium — please hold out your hands so I can have a look.
Narrow therapeutic window,The gap between an effective dose and a toxic dose is very small — requires close monitoring,Lithium has a very narrow therapeutic window — regular blood tests are essential to keep levels safe.
Coarse tremor,A more obvious larger-amplitude tremor — indicates toxicity or severe neurological disturbance,If the fine tremor changes to a coarse tremor with obvious shaking please contact us immediately.
Slurred speech,Dysarthria — unclear or indistinct speech — a sign of neurological impairment or drug toxicity,If you notice slurred speech or difficulty forming words seek medical attention urgently.
Profoundly drowsy,Severe drowsiness beyond normal tiredness — a red flag for drug toxicity or neurological emergency,If you feel profoundly drowsy or cannot stay awake please call 111 immediately.
Strabismus / squint,A misalignment of the eyes — one or both eyes turn inward outward or upward — also called strabismus or crossed eyes,She was referred to ophthalmology for assessment of her strabismus — it had been gradually worsening.
Epileptic seizure,An episode of abnormal electrical activity in the brain — can cause convulsions loss of consciousness or absence,She was warned that stroboscopic lights at club venues can trigger epileptic seizures.
Compulsive action,A behaviour performed automatically without deliberate thinking — associated with OCD or habitual use,A compulsive action is something you do automatically without thinking — the patient was unaware he was doing it.
Cerebral palsy,A non-progressive neurological condition affecting movement and posture — caused by brain injury before or around birth,Patients with cerebral palsy often require mobility support devices and regular physiotherapy.
Bipolar disorder,A mood disorder with alternating episodes of mania and depression,He had been diagnosed with bipolar disorder and was maintained on lithium for mood stabilisation.
Schizophrenia,A severe mental illness characterised by hallucinations delusions and disorganised thinking,She had a history of schizophrenia and was taking clozapine — regular monitoring was required.
ADHD — Attention Deficit Hyperactivity Disorder,A neurodevelopmental disorder characterised by inattention hyperactivity and impulsivity,ADHD stands for Attention Deficit Hyperactivity Disorder — it is typically managed with stimulant medication.
====== SYMPTOMS — GENERAL CLINICAL LIST ======,,
Shortness of breath,Difficulty breathing or breathlessness — even at rest or with minimal exertion — also called dyspnoea,She reported shortness of breath even while walking slowly — her oxygen saturation was 91% on room air.
Abdominal pain,Pain in the abdomen — location character and radiation should all be assessed,He presented with severe abdominal pain in the right iliac fossa — appendicitis was the working diagnosis.
Bloating,A sensation of fullness or distension in the abdomen — common in IBS and food intolerances,Her main symptom was bloating after meals — it had been worsening over the past three months.
Palpitations,An awareness of the heartbeat — racing fluttering or pounding — always in plural form,She described palpitations that lasted for several minutes — an ECG was ordered to exclude arrhythmia.
Numbness,Loss of sensation in a body part — can indicate nerve compression poor circulation or neuropathy,He reported numbness in his fingers that was worse in the mornings — consistent with carpal tunnel syndrome.
Fainting / Syncope,A temporary loss of consciousness due to reduced blood flow to the brain — may be cardiac vasovagal or orthostatic,She fainted in the shower — a tilt-table test was arranged to investigate vasovagal syncope.
Hair loss / Alopecia,Loss of hair from the scalp or body — can be a side effect of chemotherapy or certain medications,She reported significant hair loss since starting the new medication — the pharmacist documented this as an adverse event.
Bruising easily,A tendency to develop bruises with minimal trauma — may indicate low platelets or anticoagulant therapy,She noticed she was bruising easily — a full blood count and coagulation screen were requested.
Difficulty swallowing (dysphagia),Trouble moving food or liquid from the mouth to the stomach — requires urgent investigation,He reported progressive difficulty swallowing solids over two months — an urgent endoscopy was arranged.
Excessive sweating,Sweating beyond normal thermoregulation — may be a drug side effect infection or hormonal cause,She developed excessive sweating within days of starting the new antidepressant.
Change in bowel habits,Alteration in the frequency consistency or urgency of bowel motions — a red flag symptom requiring investigation,He reported a change in bowel habits over six weeks — alternating diarrhoea and constipation.
Loss of appetite,Reduced desire to eat — clinically significant if unexplained or persistent — may indicate malignancy depression or drug effect,She described a significant loss of appetite — she had lost four kilograms without trying over the past month.
Joint swelling,Visible enlargement of a joint due to fluid or inflammation — associated with gout arthritis or infection,The right knee showed marked joint swelling with warmth and tenderness — joint aspiration was performed.
Chest tightness,A squeezing or pressure sensation in the chest — may indicate cardiac respiratory or musculoskeletal cause,He described chest tightness on exertion — a stress ECG was arranged to rule out cardiac ischaemia.
Mood swings,Rapid or unpredictable changes in emotional state — may be a drug side effect or indicate a mood disorder,She reported significant mood swings since starting the new contraceptive — an alternative was discussed.
Blurred vision,Loss of visual clarity — may indicate ocular side effects of medication or systemic disease,She reported blurred vision that had started after the new medication was commenced — an ophthalmology referral was arranged.
Frequent urination,Increased frequency of passing urine — may indicate urinary tract infection diabetes or medication effect,He reported frequent urination especially at night — a urine dipstick and blood glucose were checked.
Hot flashes,Sudden sensations of intense body heat — common in menopause or as a side effect of some medications,She described hot flashes that woke her several times a night — HRT was discussed as an option.
====== PHARMACY LETTERS & CLINICAL COMMUNICATION ======,,
I noticed a potential clinical issue with this prescription,A professional and non-accusatory way to raise a prescribing concern with a GP,I noticed a potential clinical issue with this prescription and wanted to discuss it with you before dispensing.
The patient's eGFR is reduced which may affect this medication,Standard pharmacist communication about renal function and drug dosing,The patient's eGFR is reduced at 28 mL/min which may affect the safety of this medication at the current dose.
I am writing to express my professional concern regarding,Formal opening for a pharmacist referral letter — clinical concern about a patient,I am writing to express my professional concern regarding Mr Henderson's medication adherence and his current clinical status.
During his visit to the pharmacy today for a repeat prescription,Context-setting phrase in a referral letter — establishes when the issue was identified,During his visit to the pharmacy today for a repeat prescription I observed that his blood pressure was elevated at 175/95.
His blood pressure was persistently elevated,A clinical observation documented in a referral letter — signals hypertension not at target,Upon taking his blood pressure I found it was persistently elevated at 165/95 mmHg on two consecutive readings.
Upon reviewing his dispensing history,A pharmacist audit phrase — used when reviewing medication collection records to identify non-adherence,Upon reviewing his dispensing history it appears that he has been collecting his antihypertensive medication inconsistently.
A formal medication review may be necessary,A professional recommendation that the prescriber reassess the patient's overall drug therapy,Given the complexity of his current regimen a formal medication review may be necessary.
I would recommend a review of his medication regimen to ensure safe use and optimise his treatment,Standard OET Writing closing recommendation phrase — specific and action-oriented,I would recommend a review of his medication regimen to ensure safe use and optimise his treatment given his declining renal function.
Please do not hesitate to contact me if further information is required,Standard professional closing for a referral or communication letter,Please do not hesitate to contact me if further information is required — I am available on the number below.
Her symptoms are suggestive of fluid retention and possible deterioration in renal function,Clinical interpretation phrase — symptoms point toward a diagnosis without confirming it,Her ankle oedema and weight gain are suggestive of fluid retention and possible deterioration in renal function.
I am writing to raise concerns regarding,Formal letter opener for expressing a clinical concern — less confrontational than 'I am writing to complain',I am writing to raise concerns regarding the patient's current medication regimen and recent clinical changes.
He was counselled on,Standard OET Writing phrase — documents that the patient received advice on a specific topic,He was counselled on the importance of medication adherence and the risks associated with stopping his antihypertensive abruptly.
The patient reported increasing use of,Documents self-reported escalation of a substance or medication,The patient reported increasing use of ibuprofen over the past month — up to six tablets daily.
I would recommend an urgent review,A stronger recommendation phrase — appropriate when the clinical situation is time-sensitive,I would recommend an urgent review to assess for possible methotrexate toxicity given his reported symptoms.
I observed that his blood pressure was persistently elevated at 165 over 95,Specific documented clinical observation — includes the numeric reading for precision,I observed that his blood pressure was persistently elevated at 165 over 95 mmHg on repeat measurement.
It appears that he has been irregular in collecting his primary antihypertensive medication,A non-accusatory documentation phrase for non-adherence identified via dispensing records,It appears that he has been irregular in collecting his primary antihypertensive medication — there have been three gaps of over two weeks in the past six months.
While I have provided initial counselling,Acknowledges pharmacist's prior action before recommending further review,While I have provided initial counselling on the importance of consistency a formal medication review may be necessary.
A formal medication review may be necessary,Referral recommendation phrase — appropriate when a pharmacist has reached the limit of their scope,A formal medication review may be necessary to determine whether the current regimen remains appropriate.
He admitted to inadvertently skipping doses due to forgetfulness,Documented patient self-report of unintentional non-adherence,He admitted to inadvertently skipping doses due to forgetfulness — a once-daily formulation or dosette box was discussed.
Expressed concerns regarding the adverse effects specifically a persistent dry cough,Documents the patient's reported side effect in formal language,She expressed concerns regarding the adverse effects — specifically a persistent dry cough which she believed started after the recent dosage titration.
Given his comorbidities and the increased risk of cardiovascular events,Clinical reasoning phrase — connects the patient's background conditions to the clinical decision,Given his comorbidities and the increased risk of cardiovascular events I am concerned that his current regimen may no longer be optimal.
Could you please evaluate whether a switch to an ARB might be more appropriate,A pharmacist's recommendation framed as a request to the prescriber — collaborative tone,Could you please evaluate whether a switch to an ARB might be more appropriate to mitigate the side effects while maintaining efficacy?
I believe this intervention would significantly enhance his compliance and overall treatment outcomes,A strong outcome-focused closing statement in a pharmacist letter,I believe this intervention would significantly enhance his compliance and overall treatment outcomes given his current difficulties.
Should her eGFR fall below 30 mL/min a complete cessation of Metformin may be necessary,Conditional clinical statement — documents a threshold for medication change,Should her eGFR fall below 30 mL/min/1.73m² a complete cessation of Metformin may be necessary to prevent lactic acidosis.
====== MEDICATION COUNSELLING — SPECIFIC DRUGS ======,,
Amiodarone is prescribed to manage atrial fibrillation,Standard counselling opening — names the drug and its indication,Amiodarone is prescribed to manage atrial fibrillation — it is a very effective but complex medication with several important side effects.
Patient is starting a loading dose to build up levels in the body,Explains the purpose of a higher initial dose — important for patient understanding and adherence,You are starting a loading dose to build up the drug levels in your body — the dose will be reduced after a few weeks.
Patient must use high-factor sunscreen even on cloudy days,Amiodarone counselling point — causes photosensitivity — essential safety advice,You must use high-factor sunscreen every day even on cloudy days — amiodarone makes your skin very sensitive to UV light.
Development of a blue-grey skin discolouration,A known and permanent side effect of long-term amiodarone — must be disclosed upfront,I need to let you know that long-term amiodarone can cause a blue-grey skin discolouration — this is not dangerous but is permanent.
You may notice halos around lights at night,An ocular side effect of amiodarone — common and usually mild,You may notice halos around lights at night — this is a recognised effect of amiodarone and is usually not a reason to stop.
Report any yellowing of the skin or eyes,Instruction to report signs of jaundice — indicates hepatotoxicity — a serious amiodarone side effect,Report any yellowing of the skin or eyes immediately — this could indicate that the drug is affecting your liver.
Strictly avoid grapefruit juice as it increases drug concentration,Standard counselling for drugs metabolised by CYP3A4 — grapefruit is a CYP3A4 inhibitor,Strictly avoid grapefruit juice as it increases drug concentration and can lead to toxic effects.
Requires baseline and periodic blood tests,Monitoring requirement phrase — applies to many high-risk medications,This medication requires baseline and periodic blood tests — we will check your thyroid liver and lung function regularly.
Staying upright is vital to prevent painful ulcers,Alendronate counselling — must remain upright for 30 minutes after taking to prevent oesophageal erosion,Staying upright after taking this tablet is vital to prevent painful ulcers forming in your oesophagus.
Swallowing pain or heartburn — report immediately,Alendronate safety advice — signs of oesophageal irritation require urgent review,Report immediately if you develop swallowing pain or heartburn after taking the tablet — these can be signs of oesophageal damage.
Writing the exact frequency is vital,Documentation principle — the exact dosing frequency must be clearly written in any clinical letter or note,When documenting the prescription writing the exact frequency is vital — once daily versus twice daily can have significant clinical implications.
The anti-inflammatory medication you are taking may reduce blood flow to your kidneys,Patient-friendly explanation of NSAID nephrotoxicity,The anti-inflammatory medication you are taking may reduce blood flow to your kidneys — this is why we recommend using it only when necessary.
When this medicine is taken together with your blood pressure medication and diuretics it may further impair kidney function,Triple whammy effect counselling — NSAIDs plus ACE inhibitor plus diuretic,When this medicine is taken together with your blood pressure medication and diuretics it may further impair kidney function — this combination should generally be avoided.
Reduced kidney function may also affect how your diabetes medication is processed in your body,Explains the clinical impact of renal impairment on metformin clearance,Reduced kidney function may also affect how your diabetes medication is processed in your body — specifically the risk of metformin accumulation increases.
It is advisable to limit the use of anti-inflammatory medicines and consider safer alternatives such as paracetamol,Standard NSAID counselling recommendation for patients with renal impairment,It is advisable to limit the use of anti-inflammatory medicines and consider safer alternatives such as paracetamol where clinically appropriate.
If you become unwell especially with vomiting diarrhoea or reduced fluid intake you should temporarily stop certain medications and seek medical advice,Sick day rules counselling — important for patients on metformin ACE inhibitors diuretics or NSAIDs,If you become unwell — especially with vomiting diarrhoea or reduced fluid intake — you should temporarily stop certain medications and seek medical advice.
Please continue taking your medication as advised,Standard adherence instruction — closing line in counselling,Please continue taking your medication as advised — do not stop without first speaking to your pharmacist or doctor.
Please ensure that the medication is administered as prescribed,Formal instruction to a carer or care home — documents the expected administration practice,Please ensure that the medication is administered as prescribed — any deviation should be reported to the GP.
I would recommend a review of the patient's medication regimen,A professional recommendation to a prescriber — invites clinical collaboration,I would recommend a review of the patient's medication regimen in light of his recent blood test results.
It's quite common to notice a fine tremor,Reassurance phrase — normalises a benign drug side effect,It is quite common to notice a fine tremor when taking this medication — please show me your hands so I can assess it.
Lithium has a very narrow therapeutic window,Core lithium counselling fact — explains why monitoring is essential,Lithium has a very narrow therapeutic window — the difference between a helpful dose and a toxic one is very small.
If that changes to a coarse tremor where the shaking becomes much more obvious or jerky,Lithium toxicity warning — escalation sign that requires urgent review,If the fine tremor changes to a coarse tremor where the shaking becomes much more obvious or jerky please contact us immediately.
If you start to have slurred speech feel profoundly drowsy or experience severe vomiting,Lithium toxicity red flag symptoms — requires immediate medical attention,If you start to have slurred speech feel profoundly drowsy or experience severe vomiting seek emergency medical care immediately.
Diagnosis was confirmed by a bone density scan,Standard clinical documentation phrase — names the investigation that confirmed the diagnosis,The diagnosis of osteoporosis was confirmed by a bone density scan showing a T-score of minus 2.8.
Not supposed to lie down for at least 30 minutes after administration,Alendronate dosing instruction — prevents oesophageal irritation,You are not supposed to lie down for at least 30 minutes after taking this tablet — it must be swallowed with a full glass of water while sitting upright.
Mrs Rossi must remain upright for at least 30 minutes following the administration of Alendronate to prevent esophageal irritation,Formal instruction in an OET care home letter — specific patient name drug and rationale included,Regarding specific precautions Mrs Rossi must remain upright for at least 30 minutes following the administration of Alendronate to prevent oesophageal irritation.
====== SEVERITY SCALE VOCABULARY ======,,
Asymptomatic / subclinical,No symptoms are present — the condition exists but is not yet detectable through symptoms alone,She was asymptomatic at the time of diagnosis — the condition was detected incidentally on a blood test.
Negligible,So small as to be unimportant — does not require clinical attention,The interaction between these two drugs is negligible at standard doses and does not require any action.
Minimal / slight / minor,A very small amount of change or pain — present but barely noticeable,She reported minimal discomfort at the injection site — no treatment was required.
Mild,Present and noticeable but not significantly limiting daily activities,He had mild symptoms that did not prevent him from working — watchful waiting was recommended.
Moderate,Between mild and severe — requires management but not emergency intervention,Her condition was classified as moderate — pharmacological treatment was initiated.
Moderately severe,Beyond moderate — approaching severe — may require dose change or escalation of treatment,The pain was described as moderately severe — the current analgesia was no longer sufficient.
Severe,Significantly affecting function — requires active treatment — may require hospitalisation,She presented with severe symptoms that had prevented her from leaving the house for three days.
Critical / acute / extreme,Life-threatening or immediately dangerous — requires emergency management,He was in a critical condition on arrival — he was taken directly to the resuscitation bay.
Profound,A complete or near-complete loss of a specific function — often used with hearing or cognition,She had a profound hearing loss in her right ear following the infection — cochlear implant was discussed.
====== PATIENT-FRIENDLY EXPLANATIONS & RAPPORT ======,,
What have you been taking to deal with the pain,Open clinical question for self-medication history — non-judgemental phrasing,What have you been taking to deal with the pain? That helps me make sure nothing interacts with what I'd like to recommend.
Did you try any other sort of treatment apart from the medications,Open question about non-pharmacological self-management,Did you try any other sort of treatment apart from the medications — such as heat packs rest or physiotherapy?
The pharmacist responds with heavy medical jargon and the patient just zones out,A teaching point — using complex language loses patient engagement,If the pharmacist responds with heavy medical jargon the patient just zones out — always aim for plain language.
It has the exact same active ingredient as your usual brand — it is just made by a different company and costs less,Generic substitution explanation — reassures patient about equivalence,It has the exact same active ingredient as your usual brand — it is just made by a different company and costs less. The effect will be identical.
If you have been under the weather this medication will help you recover,Empathetic counselling opener using patient language,If you have been under the weather lately this medication will help your body recover more quickly.
Acknowledging the patient's anxiety will instantly build rapport,A communication principle — validated empathy improves the consultation quality,Acknowledging the patient's anxiety will instantly build rapport — start by saying 'I can see this has been worrying for you.'
Presented to my pharmacy,Standard OET writing phrase — documents how the patient came to the pharmacist,He presented to my pharmacy today requesting a repeat supply of his regular medications.
Sought an over-the-counter remedy for a cough,Documents the patient's self-referral reason in a clinical letter,She sought an over-the-counter remedy for a cough — during the consultation I identified a potential drug interaction.
Developed a dry tickly cough that worsens at night and causes insomnia,Detailed symptom description — includes character timing and functional impact,He developed a dry tickly cough that worsens at night and causes insomnia — this is consistent with an ACE inhibitor cough.
I noticed a potential clinical issue with this prescription,Professional non-threatening opener when calling a prescriber about a concern,I noticed a potential clinical issue with this prescription — I wanted to run it by you before dispensing.
Presented to my pharmacy today for a repeat prescription,Standard OET clinical opening — establishes context for the encounter,She presented to my pharmacy today for a repeat prescription of her antihypertensive medication.
====== Previous Batches (Set 1–11 + House MD) ======,,
alcohol abstinence,Complete avoidance of alcohol — stronger than moderation or reduction,Complete alcohol abstinence is essential during metronidazole — even small amounts cause flushing and nausea.
ferrous sulfate,Iron supplement prescribed for iron deficiency anaemia,Ferrous sulfate is best absorbed on an empty stomach but can be taken with food if GI side effects occur.
absorption,The process by which a drug or nutrient passes from the gut into the bloodstream,Taking ferrous sulfate with food may slightly reduce absorption but is preferable to stopping altogether.
course (of treatment),A prescribed duration of treatment — must be completed even if symptoms improve,It is important to complete the full course of ferrous sulfate even if you start feeling better.
dark stools,Darkening of bowel motions — common harmless side effect of ferrous sulfate,Your stools may appear darker than usual — this is nothing to be concerned about and is simply the iron passing through.
it is nothing to be concerned about,Reassurance phrase for harmless side effects,The dark colour is nothing to be concerned about — it is a well-known and harmless effect of this medication.
even if you start feeling better,Pre-empts premature discontinuation — patient must continue despite symptom improvement,Even if you start feeling better please continue taking the full course — your iron stores need more time to recover.
this may slightly reduce absorption but it is better than stopping altogether,Balancing phrase — acknowledges a compromise while recommending continuation,Taking it with food may slightly reduce absorption but it is better than stopping altogether if the side effects are too uncomfortable.
digoxin,Cardiac glycoside — narrow therapeutic index — used for heart failure and atrial fibrillation,Digoxin has a narrow therapeutic index — even small changes in dose can lead to toxicity.
from now on,Forward-looking time marker — signals a new ongoing instruction,From now on please inform your pharmacist about all supplements you take including herbal products.
even if it is herbal or from a health food shop,Emphasises that natural products can still interact with prescription medicines,Please tell your pharmacist about everything you take — even if it is herbal or from a health food shop.
sertraline,SSRI antidepressant — takes 2 to 4 weeks to show full effect — do not stop suddenly,Sertraline may take two to four weeks to have its full effect — do not stop taking it suddenly without medical advice.
serotonin syndrome,Potentially life-threatening reaction from excess serotonin activity — caused by combining serotonergic drugs,Combining sertraline with St John's Wort significantly increases the risk of serotonin syndrome.
St John's Wort,Herbal supplement with antidepressant and enzyme-inducing properties — interacts with many prescription drugs,St John's Wort is available over the counter but can seriously affect how prescription medications work.
I can see you are struggling with your mood,Empathy opener — validates emotional state without diagnosing — invites further discussion,I can see you are struggling with your mood — would it be alright if I asked a few more questions about how you have been feeling?
anaphylaxis can happen unexpectedly so being prepared is life-saving,Core anaphylaxis counselling statement — emphasises unpredictability and importance of carrying auto-injector,Anaphylaxis can happen unexpectedly so being prepared is life-saving — always carry your adrenaline auto-injector.
when eating out always tell the restaurant or chef about your severe peanut allergy,Standard allergy counselling — do not assume staff will remember,When eating out always tell the restaurant or chef about your severe peanut allergy — do not assume they will remember.
consolidate,To combine or simplify into one — in pharmacy: organise medications into a simpler regimen — in respiratory: alveoli filled with fluid (e.g. pneumonia),The pharmacist suggested consolidating the morning medications into a single dose time to improve adherence.
combine (verb),To use or give together — do not combine X with Y = do not take at the same time,It is essential that you do not combine St John's Wort with sertraline.
vital stats,Informal term for vital signs — a group of measurements: BP / HR / RR / Temp / SpO2,The nurse reported that the patient's vital stats are stable — BP 118 over 76 heart rate 74 sats 98 percent.
decongestant,Drug that relieves nasal congestion — must not be used more than 3 to 5 days due to rebound risk,The pharmacist advised against using the decongestant for more than three consecutive days.
rebound (congestion),Worsening of congestion after stopping or overusing a nasal decongestant — also called rhinitis medicamentosa,Prolonged use of nasal decongestants can lead to rebound congestion — the congestion returns worse than before.
saline,Sodium chloride solution — used as nasal spray or IV fluid — safer long-term alternative to decongestants,A saline nasal spray can help relieve congestion without the risk of rebound effects.
it may not work as quickly as the decongestant,Expectation-management phrase — used when recommending a safer but slower alternative,It may not work as quickly as the decongestant but it is much safer for long-term use.
it should help you feel better,Closing reassurance phrase — modal should = confident expectation without over-promising,Keep using it regularly — it should help you feel better within a few days.
warfarin,Vitamin K antagonist anticoagulant — narrow therapeutic index — many drug and food interactions,Patients taking warfarin must be counselled carefully about interactions — including decongestants and NSAIDs.
X-ray machine at airport security may alarm if carrying insulin supplies,Travel counselling for diabetic patients — metal in devices may trigger security alarms — carry a medical letter,You should be aware that the X-ray machine at airport security may alarm when carrying insulin supplies — I recommend getting a letter from your GP.
